Account,Product,Period,Price
Maxieldse,Almond Milk,4/27/2014,8.92
Eitelpali,Snow Plow,1/6/2014,6.31
RonzUber,Left-handed Scissors,3/28/2014,6.40
Bozicalyste,Saxophone Reed,3/5/2014,12.23
Mundelise,Hot Dog,3/5/2014,9.57
HeheBraceFizz,Pacifier,1/13/2014,7.86
RatWitchHott,Slingshot,1/4/2014,9.57
Gamedirsil,Saxophone Reed,1/30/2014,7.55
Razualyser,Flower Bouquet,3/6/2014,6.00
Mediaux,Pacifier,4/30/2014,10.41
NewscastKenka,Squishee,3/17/2014,7.46
Conspiracy,Buzz Cola,3/23/2014,11.18
Capenikk,Bowling Ball,3/8/2014,5.59
HeavenNarrative,Almond Milk,1/4/2014,11.09
Saiyanetho,Left-handed Scissors,1/11/2014,5.00
ShadesMoto,Buzz Cola,2/10/2014,3.29
LatestPeach,Saxophone Reed,1/10/2014,6.34
CleverSimple,Devil Donut,1/13/2014,3.94
Hotsper,Devil Donut,1/23/2014,11.41
Caperlexe,Left-handed Scissors,4/23/2014,12.34
Countryboat,Bowling Ball,2/10/2014,9.08
HeraldEye,Krusty-Os,4/28/2014,8.94
Bizarrevces,Almond Milk,4/28/2014,11.06
BoaFairy,Almond Milk,2/26/2014,5.95
Laquield,Flower Bouquet,4/20/2014,11.58
ForlifeDream,Saxophone Reed,4/30/2014,7.68
Pistarynx,Krusty-Os,3/16/2014,7.61
Shualich,Krusty-Os,2/26/2014,5.49
Boardam,Left-handed Scissors,1/21/2014,10.99
NayborRun,Flower Bouquet,3/3/2014,6.35
Nioneenf,Barley,4/23/2014,3.49
Nanosill,Flower Bouquet,1/7/2014,12.96
FantasyXoxox,Bowling Ball,2/20/2014,3.81
ForlifeDream,Orange Punch,4/12/2014,11.40
Bizarrestan,Snow Plow,3/10/2014,6.95
Greygramid,Bowling Ball,2/15/2014,12.65
Bingovence,Buzz Cola,1/27/2014,6.09
Mundelise,Devil Donut,3/15/2014,5.68
Pinchrine,Almond Milk,2/23/2014,8.23
PrestigeGlossy,Devil Donut,3/9/2014,10.84
Slayerptig,Almond Milk,1/4/2014,10.43
Cordlets,Squishee,4/12/2014,9.13
AshKlugFluent,Devil Donut,1/17/2014,4.37
Dolockar,Buzz Cola,4/7/2014,4.61
Oneareratec,Barley,1/7/2014,5.94
Goldencero,Krusty-Os,4/28/2014,9.23
Quotelyco,Krusty-Os,4/29/2014,4.18
Rincent,Hot Dog,4/19/2014,7.34
Besteres,Hot Dog,4/3/2014,9.02
Mcomeduset,Devil Donut,3/19/2014,6.61
ManiakSaber,Almond Milk,3/14/2014,11.70
BleakKid,Pacifier,3/24/2014,10.05
Saleurip,Buzz Cola,3/9/2014,7.50
Parkettsto,Snow Plow,2/16/2014,6.89
RonzUber,Devil Donut,4/5/2014,8.37
Funkimagia,Orange Punch,4/14/2014,6.52
Infernoke,Left-handed Scissors,2/19/2014,9.41
Feistybera,Orange Punch,3/9/2014,3.64
Hansgen,Flower Bouquet,2/15/2014,6.20
PlaySnoop,Pacifier,4/4/2014,10.50
Actuallywo,Hot Dog,4/14/2014,6.03
Remedios,Almond Milk,4/19/2014,4.05
EdgyStunna,Bowling Ball,4/2/2014,6.88
Gamedirsil,Devil Donut,1/26/2014,8.23
Mubarnet,Squishee,1/25/2014,10.63
Intincrol,Snow Plow,2/17/2014,3.94
BurntFear,Pacifier,3/21/2014,5.10
Legendehic,Pacifier,1/24/2014,11.48
DoubleTen,Krusty-Os,3/26/2014,5.92
MamaNice,Slingshot,4/18/2014,9.88
NeoSing,Slingshot,4/6/2014,12.52
NozyGiga,Snow Plow,3/17/2014,11.31
Leradobs,Squishee,3/14/2014,5.60
LaxrWord,Krusty-Os,2/20/2014,9.64
Ollynden,Devil Donut,1/8/2014,9.18
Goldenbrae,Saxophone Reed,3/5/2014,7.70
EyesWaveWaka,Orange Punch,1/26/2014,7.09
Pyranka,Left-handed Scissors,1/8/2014,10.21
Bradeluxie,Devil Donut,1/24/2014,8.85
Bloggerer,Left-handed Scissors,4/8/2014,5.00
ChonePitcher,Hot Dog,2/9/2014,4.64
AttractiveSizzlin,Snow Plow,3/4/2014,10.31
Enlisher,Saxophone Reed,3/25/2014,4.26
Choicance,Hot Dog,1/5/2014,6.31
Hytermat,Krusty-Os,3/29/2014,10.00
BurntFear,Bowling Ball,4/30/2014,10.95
Bedsoft,Left-handed Scissors,1/16/2014,10.92
AnnouncerNephew,Hot Dog,2/16/2014,3.84
Angelstage,Krusty-Os,1/2/2014,10.82
Bizarrestan,Buzz Cola,4/29/2014,3.77
Logiclynn,Pacifier,1/23/2014,8.90
AutLess,Hot Dog,2/26/2014,4.25
GreyPlanet,Devil Donut,4/8/2014,10.54
Scarypticew,Orange Punch,4/7/2014,6.52
Daysseedia,Saxophone Reed,3/23/2014,10.31
Prelaym,Flower Bouquet,4/5/2014,11.49
Positiverc,Hot Dog,2/12/2014,7.11
Bryankpi,Bowling Ball,1/6/2014,6.16
Lettervest,Hot Dog,3/26/2014,3.69
Intincrol,Bowling Ball,1/31/2014,5.61
PeatearHiro,Snow Plow,3/29/2014,4.14
RatWitchHott,Saxophone Reed,3/9/2014,11.72
Grundyneti,Almond Milk,2/24/2014,8.41
Cochinger,Buzz Cola,4/15/2014,4.69
HanShort,Hot Dog,4/13/2014,6.72
BuffyArsenal,Orange Punch,4/28/2014,10.03
LordTinsTa,Almond Milk,3/25/2014,12.25
Mettertbe,Barley,4/19/2014,6.48
Octalogi,Pacifier,4/8/2014,3.35
NumeroTroik,Barley,1/10/2014,8.46
Enturis,Krusty-Os,3/30/2014,3.68
Communique,Squishee,1/30/2014,4.45
Conspiracy,Orange Punch,3/30/2014,11.80
Guantownta,Orange Punch,2/16/2014,8.74
MundeLogicLittle,Pacifier,4/19/2014,11.60
PlaySnoop,Left-handed Scissors,4/4/2014,4.59
Mmershpo,Krusty-Os,1/8/2014,10.26
Saiyanetho,Slingshot,3/25/2014,4.07
Selverac,Pacifier,3/8/2014,4.08
Hansgen,Flower Bouquet,3/6/2014,12.14
Chicatrisv,Saxophone Reed,2/9/2014,11.74
Noticeteat,Almond Milk,2/23/2014,6.25
Intincrol,Squishee,2/7/2014,11.82
Boardam,Flower Bouquet,1/26/2014,6.16
Pooleachou,Snow Plow,2/25/2014,5.72
Mintaliers,Almond Milk,1/6/2014,5.10
BabyPro,Krusty-Os,4/11/2014,9.53
ForlifeLittle,Left-handed Scissors,1/10/2014,7.68
Actuallywo,Krusty-Os,2/22/2014,10.94
Razualyser,Snow Plow,3/19/2014,8.42
LuvBleak,Snow Plow,4/6/2014,11.42
Okcupercl,Squishee,1/5/2014,6.41
MamaNice,Bowling Ball,2/7/2014,5.33
CutieSpecials,Pacifier,3/23/2014,11.72
Dustpla,Barley,3/14/2014,7.04
Mintaliers,Squishee,2/4/2014,6.74
Fallstaciom,Buzz Cola,3/28/2014,10.87
Deepnesca,Krusty-Os,2/21/2014,10.64
Rockeefl,Hot Dog,3/25/2014,8.80
Medyneph,Devil Donut,2/19/2014,11.49
HanShort,Snow Plow,1/12/2014,11.50
Laquield,Orange Punch,4/5/2014,3.32
FighterDiary,Flower Bouquet,1/7/2014,12.32
BingCheerup,Almond Milk,3/27/2014,4.01
HeavenNarrative,Slingshot,3/25/2014,6.46
HellUpdate,Almond Milk,3/9/2014,7.54
AboveRosa,Bowling Ball,3/24/2014,5.80
Intincrol,Almond Milk,3/20/2014,6.00
Advenopy,Buzz Cola,3/30/2014,11.25
Ollynden,Squishee,3/18/2014,4.84
Crandivx,Squishee,3/31/2014,5.64
Colictor,Slingshot,3/18/2014,12.42
PurpleShoes,Slingshot,1/29/2014,7.47
Holyncepha,Devil Donut,4/4/2014,7.72
CutieSpecials,Saxophone Reed,3/16/2014,12.09
Prophecyst,Hot Dog,1/24/2014,5.17
Ificoact,Barley,2/10/2014,4.18
Pooleachou,Bowling Ball,3/3/2014,4.99
Nicenterge,Slingshot,4/16/2014,10.12
Bevectican,Almond Milk,2/8/2014,4.80
GreyPlanet,Left-handed Scissors,1/22/2014,7.79
Palecto,Saxophone Reed,1/19/2014,9.95
Dolockar,Flower Bouquet,1/8/2014,6.89
Maxieldse,Left-handed Scissors,1/15/2014,10.96
Gerrics,Almond Milk,3/31/2014,11.71
GriffonReporter,Buzz Cola,2/16/2014,11.21
AutLess,Buzz Cola,1/3/2014,6.40
Mediaux,Flower Bouquet,4/29/2014,10.68
Prestigeye,Flower Bouquet,2/26/2014,7.51
SnoopyTimes,Left-handed Scissors,1/6/2014,4.32
Meadomark,Almond Milk,4/12/2014,6.42
Bradeluxie,Buzz Cola,4/19/2014,12.59
Buddyella,Barley,3/27/2014,12.92
Chilledet,Saxophone Reed,2/21/2014,11.14
CuriousStorm,Saxophone Reed,1/23/2014,7.93
Garnetter,Snow Plow,4/17/2014,8.95
Karield,Squishee,4/4/2014,4.04
IsYour,Bowling Ball,3/2/2014,12.52
Angelstage,Hot Dog,4/8/2014,8.00
AutLess,Almond Milk,2/2/2014,12.40
PiercePeach,Snow Plow,2/3/2014,4.30
BleakKid,Barley,2/27/2014,3.42
ArsenalTalk,Barley,4/6/2014,11.41
Japanos,Krusty-Os,2/1/2014,12.75
Intincrol,Hot Dog,4/14/2014,6.93
PrimeEye,Orange Punch,4/7/2014,8.57
Keeferr,Bowling Ball,3/28/2014,5.06
CheeseSunset,Snow Plow,2/2/2014,11.70
Muddlembler,Barley,4/26/2014,8.73
Hartlinkel,Orange Punch,3/27/2014,8.27
Jobbcoqu,Orange Punch,4/6/2014,4.28
Muddlembler,Barley,1/30/2014,6.38
HulkBlonde,Flower Bouquet,3/8/2014,11.80
Euphartn,Barley,3/7/2014,10.97
Candwire,Orange Punch,4/30/2014,6.75
Holyncepha,Flower Bouquet,3/3/2014,12.85
BristleSell,Bowling Ball,1/14/2014,8.69
Doblanepm,Snow Plow,2/26/2014,11.92
Ineschic,Snow Plow,3/22/2014,11.77
Equancoat,Saxophone Reed,3/1/2014,12.28
Bridgec,Barley,3/1/2014,6.71
BugsSlayr,Krusty-Os,1/4/2014,3.73
RightBeZeether,Devil Donut,3/17/2014,7.99
Ronquak,Pacifier,4/15/2014,3.52
Bullowerre,Orange Punch,3/26/2014,4.05
BleakKid,Krusty-Os,3/25/2014,5.70
FootballNot,Krusty-Os,1/20/2014,12.37
Fangossen,Left-handed Scissors,1/14/2014,3.42
Sheerlism,Barley,2/28/2014,9.77
Blesselud,Snow Plow,3/11/2014,5.61
Buckete,Snow Plow,1/10/2014,8.94
Feistybera,Pacifier,3/10/2014,4.29
Comiclengua,Bowling Ball,2/21/2014,10.42
Cuficel,Slingshot,1/15/2014,11.00
Remedios,Hot Dog,1/12/2014,11.39
AboutWise,Snow Plow,2/8/2014,11.71
Quotelyco,Devil Donut,3/15/2014,6.87
BlogVod,Flower Bouquet,1/15/2014,10.71
PrestigeGlossy,Orange Punch,2/5/2014,8.81
ShowHead,Hot Dog,1/11/2014,11.85
Saleurip,Flower Bouquet,3/17/2014,9.16
Dolockar,Almond Milk,4/12/2014,9.36
DayWishFear,Bowling Ball,3/16/2014,12.84
Forsyncer,Devil Donut,4/9/2014,12.26
GriffonReporter,Hot Dog,4/2/2014,8.56
Medyneph,Squishee,4/5/2014,4.87
EdgyStunna,Flower Bouquet,3/13/2014,8.97
Chilledet,Saxophone Reed,4/28/2014,6.84
Bevectican,Snow Plow,1/27/2014,7.47
Promsdeo,Saxophone Reed,1/26/2014,4.33
DigestTight,Devil Donut,4/7/2014,10.85
Guantorona,Left-handed Scissors,1/17/2014,5.06
ChonePitcher,Krusty-Os,1/1/2014,6.67
Chilledet,Left-handed Scissors,1/21/2014,5.87
Blikitbec,Hot Dog,4/14/2014,5.04
Laquield,Orange Punch,2/10/2014,11.20
Recipecide,Orange Punch,4/6/2014,9.89
PowerSomber,Snow Plow,4/13/2014,11.77
Apenguinda,Krusty-Os,1/15/2014,7.56
GurlyJinPersonal,Bowling Ball,1/16/2014,3.36
Grouptu,Bowling Ball,1/19/2014,3.26
Fernotele,Hot Dog,2/16/2014,10.62
Blesselud,Devil Donut,2/2/2014,8.68
GrabsWillows,Devil Donut,1/13/2014,10.46
Insideret,Krusty-Os,1/25/2014,11.32
Hectakent,Pacifier,1/4/2014,3.29
ChatSingFarer,Slingshot,2/23/2014,8.90
AboveRosa,Almond Milk,3/19/2014,12.90
HeraldEye,Pacifier,1/23/2014,6.20
KiddoAnhart,Left-handed Scissors,1/24/2014,12.82
Bishinve,Saxophone Reed,2/10/2014,10.46
AboutWise,Left-handed Scissors,2/1/2014,10.36
ChellTown,Barley,1/9/2014,8.70
GoldCrayon,Bowling Ball,1/18/2014,4.89
HenryGhoul,Krusty-Os,4/30/2014,11.01
Saleurip,Almond Milk,2/23/2014,6.65
FantasyXoxox,Orange Punch,1/19/2014,3.18
PattyFreezing,Squishee,3/23/2014,8.25
Shaticubed,Krusty-Os,2/4/2014,9.80
PrimeEye,Left-handed Scissors,1/31/2014,3.97
ListHaro,Left-handed Scissors,4/27/2014,10.13
HelloGrand,Buzz Cola,1/11/2014,7.59
Inesmari,Snow Plow,2/18/2014,8.34
Enturis,Left-handed Scissors,3/16/2014,10.25
Latinament,Saxophone Reed,3/3/2014,8.62
Isergoba,Bowling Ball,4/26/2014,11.96
RomanceNephew,Bowling Ball,3/13/2014,10.56
ArsenalTalk,Bowling Ball,1/4/2014,4.40
Ollynden,Barley,1/18/2014,7.73
HulkDiagonal,Barley,3/27/2014,6.91
Rock4me,Flower Bouquet,4/15/2014,7.39
Rincent,Pacifier,4/28/2014,11.29
NekoAngelic,Devil Donut,4/21/2014,5.38
Farercashop,Pacifier,3/6/2014,12.10
PartyGotInspiring,Slingshot,1/15/2014,7.19
Animorror,Barley,1/20/2014,7.29
Doblanepm,Devil Donut,2/6/2014,9.84
ForlifeLittle,Barley,4/16/2014,4.96
Pooleachou,Pacifier,1/1/2014,9.13
Enturis,Saxophone Reed,1/7/2014,6.74
HomeySchool,Almond Milk,1/16/2014,12.88
PrimeEye,Slingshot,2/23/2014,8.04
Palecto,Hot Dog,4/21/2014,8.53
BuffyArsenal,Hot Dog,1/15/2014,8.18
Mdogglectus,Hot Dog,1/27/2014,11.03
Lacegere,Snow Plow,1/22/2014,8.50
JournalKnot,Snow Plow,2/24/2014,7.46
PartyBright,Almond Milk,2/28/2014,4.97
Insideally,Bowling Ball,4/21/2014,3.96
Nioneenf,Orange Punch,4/14/2014,4.30
Mithelle,Pacifier,2/21/2014,9.53
Ensererry,Hot Dog,3/13/2014,3.10
Shualich,Krusty-Os,1/6/2014,3.04
EyesWaveWaka,Slingshot,2/12/2014,4.56
Bradeluxie,Krusty-Os,3/7/2014,8.06
Cardroug,Snow Plow,3/10/2014,12.79
Heaticel,Flower Bouquet,1/17/2014,4.42
Nozyforbox,Devil Donut,2/17/2014,9.40
Caperlexe,Saxophone Reed,2/7/2014,6.90
PartyGotInspiring,Barley,1/1/2014,3.64
Karield,Krusty-Os,3/21/2014,9.13
PopularTwinkle,Almond Milk,1/23/2014,10.47
Mudsalib,Devil Donut,3/15/2014,9.39
Gamedirsil,Left-handed Scissors,3/24/2014,8.78
Lacegere,Almond Milk,1/12/2014,9.71
Intincrol,Bowling Ball,4/4/2014,4.28
LiveStargal,Pacifier,2/19/2014,3.13
OneHelp,Slingshot,2/19/2014,4.71
Inaching,Orange Punch,4/3/2014,4.52
HeavenNarrative,Pacifier,1/10/2014,8.47
Cimballe,Krusty-Os,2/9/2014,4.39
JimForlife,Almond Milk,1/11/2014,10.74
SnoopyTimes,Flower Bouquet,4/4/2014,10.72
Palecto,Buzz Cola,2/8/2014,8.18
Blognasona,Bowling Ball,2/7/2014,6.66
Mazdobatu,Left-handed Scissors,3/1/2014,7.87
Loverabbit,Squishee,3/10/2014,6.85
HanShort,Bowling Ball,1/8/2014,8.72
Solidlynnet,Devil Donut,2/19/2014,10.74
Pistarynx,Almond Milk,2/14/2014,5.10
Farercashop,Devil Donut,4/24/2014,5.78
FunkyFreexRing,Pacifier,2/15/2014,10.70
NoticeSports,Squishee,1/21/2014,4.43
HanShort,Slingshot,2/5/2014,6.89
BlueDev,Flower Bouquet,3/1/2014,6.71
Posamne,Almond Milk,1/10/2014,3.51
AutLess,Flower Bouquet,3/16/2014,12.77
Equancoat,Snow Plow,4/24/2014,5.70
Horrayerex,Buzz Cola,2/5/2014,12.80
NozyGiga,Devil Donut,3/14/2014,5.93
BabyPro,Saxophone Reed,4/20/2014,8.40
BoaFairy,Bowling Ball,2/6/2014,11.08
Guantorona,Krusty-Os,2/12/2014,11.66
Devonalchem,Hot Dog,3/31/2014,3.29
NotePuff,Bowling Ball,4/4/2014,10.25
Advenopy,Devil Donut,2/15/2014,4.33
MamaNice,Snow Plow,4/21/2014,5.33
Heaticel,Squishee,4/24/2014,12.86
RatHunterCrescent,Orange Punch,4/21/2014,6.87
Facerust,Barley,2/15/2014,10.67
BrainyZollo,Slingshot,3/29/2014,9.83
BrainyZollo,Pacifier,3/14/2014,4.32
Notusetti,Snow Plow,3/24/2014,3.08
Enlisher,Buzz Cola,1/16/2014,3.41
BauerPure,Pacifier,3/22/2014,9.71
Networker,Snow Plow,3/15/2014,6.75
ArsenalTalk,Hot Dog,1/27/2014,9.85
Inaching,Left-handed Scissors,1/27/2014,11.11
ApenguinInca,Snow Plow,3/12/2014,11.30
LuvBleak,Barley,3/23/2014,3.34
Deepnesca,Buzz Cola,1/31/2014,9.05
Okcupercl,Barley,3/3/2014,10.64
ListHaro,Pacifier,1/27/2014,12.87
Flakergo,Snow Plow,3/19/2014,10.51
ManiakSaber,Buzz Cola,3/7/2014,6.89
Adsmanda,Flower Bouquet,1/28/2014,4.99
Gerystat,Barley,2/17/2014,9.79
BuffyArsenal,Barley,1/28/2014,6.95
Buddyella,Bowling Ball,4/11/2014,5.12
NoticeSports,Hot Dog,2/27/2014,6.48
Greentgro,Buzz Cola,4/18/2014,5.79
Expeline,Krusty-Os,4/8/2014,8.77
HelloGrand,Squishee,2/12/2014,10.63
Richisulse,Barley,3/21/2014,7.71
Eurinewh,Pacifier,2/17/2014,9.77
Hanglober,Bowling Ball,3/21/2014,8.19
PattyFreezing,Slingshot,4/20/2014,9.33
Bishinve,Snow Plow,4/16/2014,11.17
DeckTruck,Barley,1/4/2014,6.28
Fernotele,Saxophone Reed,4/23/2014,7.75
Nepheworma,Flower Bouquet,1/9/2014,5.31
Bizarrestan,Squishee,4/27/2014,7.45
Earthamackb,Saxophone Reed,4/16/2014,8.72
Pathours,Orange Punch,1/30/2014,4.96
Footballee,Devil Donut,4/27/2014,9.17
Equancoat,Orange Punch,4/22/2014,9.87
Fangossen,Devil Donut,1/20/2014,12.87
InloveDiary,Saxophone Reed,1/17/2014,11.83
HeheBraceFizz,Almond Milk,1/19/2014,6.34
AnnouncerNephew,Hot Dog,2/7/2014,9.72
Docunche,Left-handed Scissors,1/31/2014,3.74
Portmare,Orange Punch,4/12/2014,12.55
GurlyJinPersonal,Snow Plow,1/8/2014,5.10
BugsSlayr,Left-handed Scissors,3/6/2014,7.32
PeatearHiro,Bowling Ball,2/14/2014,11.04
Gambitches,Bowling Ball,4/18/2014,9.97
Pooleachou,Pacifier,2/14/2014,5.71
BizarrePinch,Left-handed Scissors,3/6/2014,10.97
Emachere,Squishee,3/16/2014,4.54
Diaryptor,Krusty-Os,3/22/2014,9.41
Ificoact,Buzz Cola,4/22/2014,8.55
Pathours,Squishee,2/22/2014,9.89
Funnynanome,Orange Punch,4/24/2014,7.88
Insideret,Orange Punch,2/4/2014,12.80
Angelstage,Orange Punch,4/26/2014,9.90
AboveRosa,Hot Dog,2/21/2014,4.59
Firstrous,Devil Donut,1/29/2014,3.92
Alcheri,Almond Milk,2/9/2014,3.94
Ronquak,Snow Plow,4/26/2014,10.57
MatrixAmerica,Buzz Cola,1/1/2014,6.42
Adminte,Bowling Ball,3/4/2014,8.47
Kenkatani,Devil Donut,1/12/2014,11.64
Farercashop,Pacifier,4/8/2014,7.71
Farercashop,Hot Dog,1/9/2014,3.10
Nozyforbox,Buzz Cola,1/29/2014,11.96
Nediumpm,Squishee,2/17/2014,7.25
RomanceNephew,Hot Dog,2/24/2014,6.44
Deepnesca,Left-handed Scissors,4/2/2014,7.26
Bingovence,Orange Punch,4/25/2014,9.34
Firectored,Pacifier,2/12/2014,10.89
Goldenbrae,Hot Dog,4/12/2014,11.84
Comiclengua,Buzz Cola,4/14/2014,12.90
BWitheard,Flower Bouquet,2/6/2014,3.85
Perustima,Squishee,4/25/2014,7.76
Footballee,Saxophone Reed,1/24/2014,7.82
Remedios,Buzz Cola,3/16/2014,9.54
Hartlinkel,Devil Donut,3/16/2014,10.62
Momjudebi,Saxophone Reed,1/20/2014,3.66
Firectored,Barley,3/19/2014,7.58
Papertica,Barley,1/17/2014,9.80
Interca,Almond Milk,3/29/2014,4.32
Saiyanetho,Snow Plow,2/14/2014,6.83
Kampenta,Krusty-Os,2/20/2014,11.22
Acme,Orange Punch,1/19/2014,4.91
Donaldenes,Snow Plow,3/13/2014,11.87
NumeroTroik,Buzz Cola,1/1/2014,5.34
Propence,Hot Dog,2/17/2014,11.38
Authorksto,Flower Bouquet,3/24/2014,8.54
Precappl,Almond Milk,2/14/2014,4.78
FighterDiary,Flower Bouquet,2/4/2014,11.39
Careampa,Slingshot,1/26/2014,10.81
Noticeteat,Barley,3/10/2014,12.12
Gerystat,Krusty-Os,2/9/2014,12.13
Kalamicvi,Left-handed Scissors,3/9/2014,11.55
Alessata,Krusty-Os,4/29/2014,5.01
Bothybarosa,Hot Dog,3/15/2014,12.50
Staressa,Almond Milk,2/24/2014,12.44
Bishinve,Barley,3/25/2014,7.12
Guantownta,Krusty-Os,3/2/2014,7.03
Buddyella,Left-handed Scissors,4/4/2014,3.11
HenryGhoul,Krusty-Os,2/28/2014,9.89
Outsourif,Bowling Ball,1/26/2014,11.65
FantasticMessages,Saxophone Reed,4/17/2014,10.77
AlphaRpg,Almond Milk,3/17/2014,6.51
Eapperpl,Almond Milk,1/5/2014,7.14
Fernotele,Devil Donut,2/16/2014,10.89
Meadomark,Flower Bouquet,4/9/2014,4.07
NeoSing,Bowling Ball,2/25/2014,10.48
Chontron,Buzz Cola,1/28/2014,4.73
Mediantam,Slingshot,3/14/2014,5.42
Nepheworma,Devil Donut,3/10/2014,3.96
HulkDiagonal,Hot Dog,1/16/2014,4.57
AlphaRpg,Buzz Cola,4/12/2014,9.35
Hubersi,Left-handed Scissors,4/1/2014,7.97
Conspiracy,Devil Donut,3/30/2014,8.64
DudeCozy,Krusty-Os,3/15/2014,12.58
Pathbaud,Buzz Cola,3/26/2014,9.59
Headlines,Saxophone Reed,2/1/2014,5.69
Boardam,Saxophone Reed,1/6/2014,6.10
Sigands,Left-handed Scissors,3/12/2014,6.88
Mdogglectus,Almond Milk,1/8/2014,6.08
Gambitches,Orange Punch,1/21/2014,11.03
ChellTown,Saxophone Reed,2/28/2014,9.43
NeoSing,Flower Bouquet,3/5/2014,12.76
Nicenterge,Krusty-Os,3/1/2014,6.36
BauerPure,Buzz Cola,1/22/2014,8.06
Advenopy,Flower Bouquet,1/14/2014,11.90
Parkettsto,Buzz Cola,2/21/2014,6.15
PlaySnoop,Orange Punch,1/12/2014,3.75
Inktonu,Buzz Cola,4/10/2014,3.40
Janionon,Barley,2/6/2014,8.90
Bishinve,Buzz Cola,3/30/2014,4.66
Stargalta,Bowling Ball,1/29/2014,7.84
Dolockar,Orange Punch,1/4/2014,5.40
HeraldIsSimple,Buzz Cola,3/4/2014,10.73
Chiaritail,Left-handed Scissors,4/13/2014,11.41
Masonomou,Squishee,3/31/2014,6.31
Hopercomni,Left-handed Scissors,3/2/2014,10.00
Mudsalib,Barley,2/22/2014,8.99
Ennectur,Devil Donut,4/23/2014,8.72
Isergoba,Krusty-Os,3/5/2014,6.15
PrestigeGlossy,Bowling Ball,2/17/2014,5.60
Anospeak,Devil Donut,2/21/2014,3.47
Bothybarosa,Krusty-Os,1/15/2014,11.07
Prophecyst,Barley,1/19/2014,11.59
Dickader,Almond Milk,4/19/2014,5.82
Lentelty,Hot Dog,3/24/2014,4.39
Expeline,Left-handed Scissors,2/6/2014,11.14
Gladples,Orange Punch,2/13/2014,4.24
Grinfous,Saxophone Reed,3/31/2014,4.66
Garnetter,Almond Milk,3/12/2014,6.78
BoaFairy,Hot Dog,3/27/2014,6.80
HeavenNarrative,Pacifier,1/30/2014,4.00
ExpertWitch,Slingshot,1/29/2014,6.90
Papertica,Hot Dog,1/8/2014,12.51
Divisional,Saxophone Reed,4/19/2014,4.76
Recipecide,Devil Donut,1/20/2014,3.04
NearlyAce,Snow Plow,2/2/2014,9.19
Ificoact,Slingshot,3/29/2014,7.21
